"","vetyears","natcity","natroad","natmass"
"9690","2 To 4 Years","About Right",NA,NA
"9691","2 To 4 Years","Too Little",NA,NA
"9695","2 To 4 Years","Too Little",NA,NA
"9697","More Than 4 Yrs","About Right",NA,NA
"9699","2 To 4 Years","Too Little",NA,NA
"9701","Less Than 2 Yrs","About Right",NA,NA
"9703","2 To 4 Years",NA,NA,NA
"9712","2 To 4 Years","Too Much",NA,NA
"9715","2 To 4 Years",NA,NA,NA
"9723","More Than 4 Yrs","About Right",NA,NA
"9729","Less Than 2 Yrs","About Right",NA,NA
"9735","2 To 4 Years","Too Little",NA,NA
"9743","2 To 4 Years","Too Much",NA,NA
"9744","2 To 4 Years","Too Little",NA,NA
"9754","Less Than 2 Yrs","About Right",NA,NA
"9755","More Than 4 Yrs","Too Little",NA,NA
"9767","More Than 4 Yrs","Too Little",NA,NA
"9771","2 To 4 Years","About Right",NA,NA
"9774","Less Than 2 Yrs",NA,NA,NA
"9775","2 To 4 Years","Too Little",NA,NA
"9785","Less Than 2 Yrs","Too Little",NA,NA
"9792","More Than 4 Yrs","Too Much",NA,NA
"9809","Less Than 2 Yrs","About Right",NA,NA
"9812","2 To 4 Years","About Right",NA,NA
"9813","More Than 4 Yrs","About Right",NA,NA
"9815","2 To 4 Years","About Right",NA,NA
"9827","2 To 4 Years",NA,NA,NA
"9829","More Than 4 Yrs","About Right",NA,NA
"9836","2 To 4 Years","About Right",NA,NA
"9839","2 To 4 Years","Too Much",NA,NA
"9843","Less Than 2 Yrs","Too Little",NA,NA
"9853","More Than 4 Yrs",NA,NA,NA
"9854","2 To 4 Years","Too Much",NA,NA
"9855","2 To 4 Years","Too Little",NA,NA
"9862","More Than 4 Yrs","Too Little",NA,NA
"9864","2 To 4 Years","About Right",NA,NA
"9868","2 To 4 Years","Too Little",NA,NA
"9872","2 To 4 Years","Too Little",NA,NA
"9881","2 To 4 Years","Too Much",NA,NA
"9885","2 To 4 Years","About Right",NA,NA
"9887","2 To 4 Years","Too Much",NA,NA
"9889","Less Than 2 Yrs","Too Little",NA,NA
"9899","2 To 4 Years","About Right",NA,NA
"9900","Less Than 2 Yrs","Too Little",NA,NA
"9901","2 To 4 Years","Too Much",NA,NA
"9906","2 To 4 Years","Too Much",NA,NA
"9914","2 To 4 Years",NA,NA,NA
"9920","More Than 4 Yrs","Too Much",NA,NA
"9924","More Than 4 Yrs",NA,NA,NA
"9925","Less Than 2 Yrs","About Right",NA,NA
"9926","More Than 4 Yrs","Too Little",NA,NA
"9927","2 To 4 Years","Too Little",NA,NA
"9939","2 To 4 Years","Too Little",NA,NA
"9940","More Than 4 Yrs","Too Little",NA,NA
"9948","2 To 4 Years","About Right",NA,NA
"9956","2 To 4 Years","About Right",NA,NA
"9959","2 To 4 Years","Too Much",NA,NA
"9962","Less Than 2 Yrs","About Right",NA,NA
"9974","Less Than 2 Yrs",NA,NA,NA
"9976","2 To 4 Years","About Right",NA,NA
"9979","Less Than 2 Yrs","Too Much",NA,NA
"9980","Less Than 2 Yrs","Too Much",NA,NA
"9991","Less Than 2 Yrs","Too Little",NA,NA
"10003","2 To 4 Years","About Right",NA,NA
"10006","2 To 4 Years","Too Little",NA,NA
"10012","2 To 4 Years","Too Much",NA,NA
"10013","2 To 4 Years","Too Little",NA,NA
"10014","2 To 4 Years","Too Much",NA,NA
"10017","2 To 4 Years","About Right",NA,NA
"10018","More Than 4 Yrs","Too Little",NA,NA
"10021","More Than 4 Yrs","Too Much",NA,NA
"10023","More Than 4 Yrs","About Right",NA,NA
"10025","More Than 4 Yrs","Too Little",NA,NA
"10042","2 To 4 Years","Too Little",NA,NA
"10044","More Than 4 Yrs","Too Little",NA,NA
"10046","More Than 4 Yrs","About Right",NA,NA
"10049","More Than 4 Yrs","Too Much",NA,NA
"10053","Less Than 2 Yrs","About Right",NA,NA
"10062","2 To 4 Years","Too Little",NA,NA
"10077","2 To 4 Years","Too Little",NA,NA
"10079","More Than 4 Yrs","Too Little",NA,NA
"10083","2 To 4 Years","About Right",NA,NA
"10091","More Than 4 Yrs","About Right",NA,NA
"10104","More Than 4 Yrs","Too Much",NA,NA
"10105","2 To 4 Years",NA,NA,NA
"10106","More Than 4 Yrs","About Right",NA,NA
"10110","More Than 4 Yrs","About Right",NA,NA
"10111","2 To 4 Years","Too Little",NA,NA
"10115","Less Than 2 Yrs","Too Little",NA,NA
"10118","More Than 4 Yrs","Too Much",NA,NA
"10122","More Than 4 Yrs","Too Much",NA,NA
"10123","Less Than 2 Yrs","Too Much",NA,NA
"10129","2 To 4 Years","Too Much",NA,NA
"10130","2 To 4 Years","Too Little",NA,NA
"10131","More Than 4 Yrs","Too Little",NA,NA
"10142","2 To 4 Years","About Right",NA,NA
"10143","2 To 4 Years","Too Much",NA,NA
"10144","2 To 4 Years","About Right",NA,NA
"10146","2 To 4 Years","Too Much",NA,NA
"10151","Less Than 2 Yrs",NA,NA,NA
"10156","More Than 4 Yrs","About Right",NA,NA
"10163","Less Than 2 Yrs","Too Little",NA,NA
"10169","Less Than 2 Yrs","Too Little",NA,NA
"10174","More Than 4 Yrs","Too Much",NA,NA
"10175","2 To 4 Years","Too Much",NA,NA
"10177","More Than 4 Yrs","Too Much",NA,NA
"10181","More Than 4 Yrs",NA,NA,NA
"10183","2 To 4 Years","About Right",NA,NA
"10185","2 To 4 Years","Too Little",NA,NA
"10189","2 To 4 Years","Too Little",NA,NA
"10193","2 To 4 Years","Too Much",NA,NA
"10200","More Than 4 Yrs","About Right",NA,NA
"10202","More Than 4 Yrs","Too Much",NA,NA
"10203","2 To 4 Years","About Right",NA,NA
"10210","More Than 4 Yrs","About Right",NA,NA
"10212","Less Than 2 Yrs","About Right",NA,NA
"10213","More Than 4 Yrs","Too Much",NA,NA
"10219","2 To 4 Years","Too Much",NA,NA
"10223","2 To 4 Years",NA,NA,NA
"10228","2 To 4 Years","About Right",NA,NA
"10232","2 To 4 Years","Too Little",NA,NA
"10235","2 To 4 Years","Too Little",NA,NA
"10238","2 To 4 Years","About Right",NA,NA
"10244","2 To 4 Years","Too Little",NA,NA
"10247","Less Than 2 Yrs","Too Much",NA,NA
"10248","Less Than 2 Yrs","About Right",NA,NA
"10273","Less Than 2 Yrs","Too Much",NA,NA
"10278","2 To 4 Years","Too Little",NA,NA
"10281","Less Than 2 Yrs","Too Little",NA,NA
"10285","2 To 4 Years","Too Little",NA,NA
"10296","Less Than 2 Yrs","About Right",NA,NA
"10304","2 To 4 Years","Too Little",NA,NA
"10307","2 To 4 Years","Too Much",NA,NA
"10311","2 To 4 Years",NA,NA,NA
"10324","Less Than 2 Yrs","Too Little",NA,NA
"10329","2 To 4 Years","About Right",NA,NA
"10332","2 To 4 Years","Too Little",NA,NA
"10333","More Than 4 Yrs","Too Much",NA,NA
"10334","2 To 4 Years","Too Little",NA,NA
"10336","Less Than 2 Yrs","Too Little",NA,NA
"10340","2 To 4 Years","About Right",NA,NA
"10344","More Than 4 Yrs","Too Little",NA,NA
"10346","2 To 4 Years","Too Little",NA,NA
"10348","2 To 4 Years","Too Little",NA,NA
"10351","2 To 4 Years","Too Much",NA,NA
"10359","More Than 4 Yrs","Too Little",NA,NA
"10360","2 To 4 Years","Too Much",NA,NA
"10361","2 To 4 Years","Too Much",NA,NA
"10362","More Than 4 Yrs","About Right",NA,NA
"10375","More Than 4 Yrs","About Right",NA,NA
"10383","Less Than 2 Yrs","About Right",NA,NA
"10384","Less Than 2 Yrs","About Right",NA,NA
"10393","Less Than 2 Yrs","Too Much",NA,NA
"10398","2 To 4 Years","Too Little",NA,NA
"10399","2 To 4 Years","Too Much",NA,NA
"10401","2 To 4 Years","Too Little",NA,NA
"10406","2 To 4 Years","Too Much",NA,NA
"10407","More Than 4 Yrs","About Right",NA,NA
"10408","Less Than 2 Yrs","Too Little",NA,NA
"10415","Less Than 2 Yrs","Too Much",NA,NA
"10416","Less Than 2 Yrs","Too Little",NA,NA
"10417","2 To 4 Years","About Right",NA,NA
"10423","2 To 4 Years","Too Little",NA,NA
"10427","2 To 4 Years","Too Much",NA,NA
"10431","2 To 4 Years","Too Little",NA,NA
"10434","Less Than 2 Yrs",NA,NA,NA
"10435","2 To 4 Years","Too Little",NA,NA
"10447","2 To 4 Years","About Right",NA,NA
"10449","2 To 4 Years",NA,NA,NA
"10451","More Than 4 Yrs",NA,NA,NA
"10454","2 To 4 Years","About Right",NA,NA
"10456","2 To 4 Years","Too Much",NA,NA
"10458","2 To 4 Years","Too Little",NA,NA
"10463","2 To 4 Years","About Right",NA,NA
"10467","Less Than 2 Yrs","Too Much",NA,NA
"10489","2 To 4 Years",NA,NA,NA
"10490","2 To 4 Years","Too Little",NA,NA
"10494","2 To 4 Years","Too Much",NA,NA
"10497","2 To 4 Years","Too Much",NA,NA
"10503","2 To 4 Years","About Right",NA,NA
"10507","Less Than 2 Yrs","About Right",NA,NA
"10510","More Than 4 Yrs",NA,NA,NA
"10530","2 To 4 Years",NA,NA,NA
"10532","Less Than 2 Yrs","About Right",NA,NA
"10534","2 To 4 Years","Too Little",NA,NA
"10541","Less Than 2 Yrs","Too Much",NA,NA
"10555","2 To 4 Years","About Right",NA,NA
"10557","More Than 4 Yrs","Too Much",NA,NA
"10560","2 To 4 Years","Too Little",NA,NA
"10566","2 To 4 Years","About Right",NA,NA
"10575","2 To 4 Years","Too Much",NA,NA
"10577","2 To 4 Years","About Right",NA,NA
"10581","2 To 4 Years","Too Little",NA,NA
"10584","2 To 4 Years","About Right",NA,NA
"10602","Less Than 2 Yrs","Too Much",NA,NA
"10607","2 To 4 Years",NA,NA,NA
"10612","More Than 4 Yrs","Too Little",NA,NA
"10616","2 To 4 Years","About Right",NA,NA
"10636","2 To 4 Years","Too Much",NA,NA
"10644","2 To 4 Years","About Right",NA,NA
"12128","2 To 4 Years","Too Much",NA,NA
"12139","Less Than 2 Yrs","Too Little",NA,NA
"12143","2 To 4 Years","Too Little",NA,NA
"12161","2 To 4 Years","Too Little",NA,NA
"12164","2 To 4 Years","Too Little",NA,NA
"12167","More Than 4 Yrs","Too Little",NA,NA
"12175","2 To 4 Years","Too Much",NA,NA
"12179","2 To 4 Years","Too Little",NA,NA
"12184","Less Than 2 Yrs","Too Little",NA,NA
"12196","More Than 4 Yrs","Too Little",NA,NA
"12198","Less Than 2 Yrs","Too Little",NA,NA
"12200","2 To 4 Years","About Right",NA,NA
"12202","2 To 4 Years","Too Little",NA,NA
"12207","2 To 4 Years","Too Little",NA,NA
"12211","Less Than 2 Yrs","Too Little",NA,NA
"12218","More Than 4 Yrs","Too Little",NA,NA
"12219","2 To 4 Years","Too Much",NA,NA
"12220","Less Than 2 Yrs","Too Little",NA,NA
"12229","Less Than 2 Yrs","Too Little",NA,NA
"12232","2 To 4 Years","Too Little",NA,NA
"12234","2 To 4 Years","Too Much",NA,NA
"12247","2 To 4 Years","Too Little",NA,NA
"12267","2 To 4 Years","Too Little",NA,NA
"12268","2 To 4 Years","About Right",NA,NA
"12269","2 To 4 Years","Too Much",NA,NA
"12273","More Than 4 Yrs","Too Little",NA,NA
"12283","2 To 4 Years","Too Little",NA,NA
"12292","Less Than 2 Yrs","Too Little",NA,NA
"12300","Less Than 2 Yrs",NA,NA,NA
"12311","2 To 4 Years","Too Little",NA,NA
"12317","2 To 4 Years","Too Much",NA,NA
"12321","2 To 4 Years","Too Much",NA,NA
"12327","2 To 4 Years","About Right",NA,NA
"12329","2 To 4 Years","About Right",NA,NA
"12334","Less Than 2 Yrs","Too Little",NA,NA
"12336","2 To 4 Years","About Right",NA,NA
"12347","2 To 4 Years","Too Much",NA,NA
"12349","2 To 4 Years","Too Little",NA,NA
"12350","More Than 4 Yrs","Too Little",NA,NA
"12360","2 To 4 Years","Too Little",NA,NA
"12363","Less Than 2 Yrs","Too Much",NA,NA
"12364","2 To 4 Years","Too Little",NA,NA
"12369","2 To 4 Years","Too Little",NA,NA
"12385","2 To 4 Years","Too Much",NA,NA
"12386","More Than 4 Yrs","About Right",NA,NA
"12396","Less Than 2 Yrs","Too Little",NA,NA
"12401","2 To 4 Years","Too Little",NA,NA
"12410","2 To 4 Years","About Right",NA,NA
"12417","Less Than 2 Yrs",NA,NA,NA
"12429","2 To 4 Years","Too Little",NA,NA
"12432","2 To 4 Years",NA,NA,NA
"12434","More Than 4 Yrs","About Right",NA,NA
"12438","Less Than 2 Yrs","Too Little",NA,NA
"12440","2 To 4 Years","About Right",NA,NA
"12441","2 To 4 Years","Too Much",NA,NA
"12450","2 To 4 Years","Too Much",NA,NA
"12451","2 To 4 Years","Too Much",NA,NA
"12457","2 To 4 Years","Too Little",NA,NA
"12460","2 To 4 Years","About Right",NA,NA
"12465","2 To 4 Years","Too Little",NA,NA
"12466","2 To 4 Years","Too Little",NA,NA
"12467","2 To 4 Years","About Right",NA,NA
"12474","More Than 4 Yrs","Too Much",NA,NA
"12489","2 To 4 Years","Too Little",NA,NA
"12494","Less Than 2 Yrs","Too Little",NA,NA
"12498","2 To 4 Years","Too Little",NA,NA
"12499","2 To 4 Years","Too Little",NA,NA
"12502","2 To 4 Years","Too Much",NA,NA
"12506","Less Than 2 Yrs","About Right",NA,NA
"12513","2 To 4 Years","Too Little",NA,NA
"12523","2 To 4 Years","About Right",NA,NA
"12525","Less Than 2 Yrs","Too Little",NA,NA
"12532","2 To 4 Years","Too Much",NA,NA
"12533","2 To 4 Years",NA,NA,NA
"12535","2 To 4 Years","Too Much",NA,NA
"12538","More Than 4 Yrs","Too Much",NA,NA
"12542","2 To 4 Years","About Right",NA,NA
"12550","Less Than 2 Yrs","Too Little",NA,NA
"12556","2 To 4 Years","Too Much",NA,NA
"12562","Less Than 2 Yrs","Too Little",NA,NA
"12563","2 To 4 Years","Too Much",NA,NA
"12567","2 To 4 Years","Too Little",NA,NA
"12575","2 To 4 Years","About Right",NA,NA
"12580","Less Than 2 Yrs","Too Much",NA,NA
"12584","2 To 4 Years","Too Little",NA,NA
"12585","Less Than 2 Yrs","Too Much",NA,NA
"12587","Less Than 2 Yrs","About Right",NA,NA
"12601","Less Than 2 Yrs",NA,NA,NA
"12608","Less Than 2 Yrs","Too Little",NA,NA
"12610","More Than 4 Yrs","Too Much",NA,NA
"12611","2 To 4 Years","Too Little",NA,NA
"12616","2 To 4 Years",NA,NA,NA
"12626","2 To 4 Years","Too Little",NA,NA
"12631","2 To 4 Years","Too Little",NA,NA
"12632","2 To 4 Years","Too Much",NA,NA
"12634","2 To 4 Years","Too Little",NA,NA
"12638","2 To 4 Years","Too Much",NA,NA
"12645","More Than 4 Yrs","About Right",NA,NA
"12647","2 To 4 Years","About Right",NA,NA
"12656","Less Than 2 Yrs","About Right",NA,NA
"12657","More Than 4 Yrs","Too Little",NA,NA
"12659","Less Than 2 Yrs","Too Much",NA,NA
"12662","2 To 4 Years","About Right",NA,NA
"12679","2 To 4 Years","Too Little",NA,NA
"12683","Less Than 2 Yrs","Too Little",NA,NA
"12688","2 To 4 Years","Too Little",NA,NA
"12690","Less Than 2 Yrs","Too Little",NA,NA
"12700","More Than 4 Yrs","Too Little",NA,NA
"12707","More Than 4 Yrs","About Right",NA,NA
"12712","2 To 4 Years","Too Much",NA,NA
"12714","More Than 4 Yrs","Too Little",NA,NA
"12718","More Than 4 Yrs","Too Little",NA,NA
"12719","More Than 4 Yrs","Too Little",NA,NA
"12728","2 To 4 Years","About Right",NA,NA
"12729","2 To 4 Years","Too Much",NA,NA
"12732","2 To 4 Years",NA,NA,NA
"12737","2 To 4 Years","Too Much",NA,NA
"12738","Less Than 2 Yrs","Too Little",NA,NA
"12739","2 To 4 Years","Too Little",NA,NA
"12749","Less Than 2 Yrs","Too Little",NA,NA
"12754","2 To 4 Years","Too Little",NA,NA
"12755","More Than 4 Yrs",NA,NA,NA
"12756","More Than 4 Yrs","About Right",NA,NA
"12757","2 To 4 Years","Too Much",NA,NA
"12770","Less Than 2 Yrs","Too Much",NA,NA
"12772","2 To 4 Years","Too Much",NA,NA
"12783","Less Than 2 Yrs","Too Much",NA,NA
"12792","2 To 4 Years","Too Much",NA,NA
"12798","Less Than 2 Yrs",NA,NA,NA
"12809","2 To 4 Years","Too Little",NA,NA
"12810","2 To 4 Years","Too Little",NA,NA
"12812","2 To 4 Years","About Right",NA,NA
"12835","2 To 4 Years","Too Little",NA,NA
"12838","2 To 4 Years","Too Much",NA,NA
"12839","More Than 4 Yrs","About Right",NA,NA
"12840","More Than 4 Yrs","About Right",NA,NA
"12856","2 To 4 Years","About Right",NA,NA
"12874","2 To 4 Years","Too Little",NA,NA
"12875","More Than 4 Yrs","About Right",NA,NA
"12882","2 To 4 Years","Too Little",NA,NA
"12890","2 To 4 Years","About Right",NA,NA
"12891","2 To 4 Years",NA,NA,NA
"12915","2 To 4 Years","Too Little",NA,NA
"12926","Less Than 2 Yrs","Too Much",NA,NA
"12930","2 To 4 Years","Too Much",NA,NA
"12943","2 To 4 Years","About Right",NA,NA
"12949","Less Than 2 Yrs","Too Much",NA,NA
"12962","Less Than 2 Yrs","Too Little",NA,NA
"12963","2 To 4 Years","Too Little",NA,NA
"12966","Less Than 2 Yrs","Too Little",NA,NA
"12968","2 To 4 Years",NA,NA,NA
"12978","2 To 4 Years","Too Much",NA,NA
"12989","More Than 4 Yrs","Too Much",NA,NA
"12990","More Than 4 Yrs","Too Much",NA,NA
"12991","2 To 4 Years","Too Much",NA,NA
"12996","2 To 4 Years","Too Little",NA,NA
"13004","2 To 4 Years","About Right",NA,NA
"13005","2 To 4 Years","Too Much",NA,NA
"13010","Less Than 2 Yrs","Too Little",NA,NA
"13021","2 To 4 Years","About Right",NA,NA
"13035","2 To 4 Years","Too Little",NA,NA
"13041","2 To 4 Years","Too Much",NA,NA
"13053","2 To 4 Years","Too Much",NA,NA
"13055","2 To 4 Years","Too Much",NA,NA
"13056","2 To 4 Years","Too Much",NA,NA
"13068","2 To 4 Years",NA,NA,NA
"13073","More Than 4 Yrs","About Right",NA,NA
"13074","More Than 4 Yrs","Too Little",NA,NA
"13076","More Than 4 Yrs","Too Little",NA,NA
"13078","2 To 4 Years","Too Little",NA,NA
"13088","2 To 4 Years","About Right",NA,NA
"13089","More Than 4 Yrs","Too Much",NA,NA
"13100","2 To 4 Years","Too Little",NA,NA
"13106","2 To 4 Years","Too Little",NA,NA
"13108","2 To 4 Years","Too Little",NA,NA
"13109","Less Than 2 Yrs","Too Little",NA,NA
"13116","2 To 4 Years","Too Much",NA,NA
"13125","Less Than 2 Yrs","About Right",NA,NA
"13136","2 To 4 Years","Too Little",NA,NA
"13143","2 To 4 Years","About Right",NA,NA
"13146","More Than 4 Yrs","Too Much",NA,NA
"13150","More Than 4 Yrs",NA,NA,NA
"13152","2 To 4 Years",NA,NA,NA
"13156","2 To 4 Years","Too Much",NA,NA
"13159","2 To 4 Years",NA,NA,NA
"13197","2 To 4 Years","Too Little",NA,NA
"13211","2 To 4 Years","About Right",NA,NA
"13217","2 To 4 Years","Too Little",NA,NA
"13224","2 To 4 Years","About Right",NA,NA
"13226","2 To 4 Years","About Right",NA,NA
"13228","2 To 4 Years","About Right",NA,NA
"13237","2 To 4 Years","Too Little",NA,NA
"13240","Less Than 2 Yrs","Too Much",NA,NA
"13244","2 To 4 Years","Too Little",NA,NA
"13248","More Than 4 Yrs","About Right",NA,NA
"13249","Less Than 2 Yrs","Too Much",NA,NA
"13262","2 To 4 Years",NA,NA,NA
"13272","2 To 4 Years","Too Little",NA,NA
"13279","2 To 4 Years","Too Much",NA,NA
"13282","2 To 4 Years","Too Little",NA,NA
"13285","2 To 4 Years","About Right",NA,NA
"13287","Less Than 2 Yrs","Too Much",NA,NA
"13296","Less Than 2 Yrs","Too Little",NA,NA
"13300","More Than 4 Yrs","About Right",NA,NA
"13303","Less Than 2 Yrs","About Right",NA,NA
"13317","2 To 4 Years","About Right",NA,NA
"13319","Less Than 2 Yrs","Too Much",NA,NA
"13326","2 To 4 Years",NA,NA,NA
"13328","2 To 4 Years","Too Little",NA,NA
"13329","More Than 4 Yrs","Too Little",NA,NA
"13332","2 To 4 Years","Too Much",NA,NA
"13343","More Than 4 Yrs","Too Much",NA,NA
"13344","More Than 4 Yrs","Too Little",NA,NA
"13353","More Than 4 Yrs","About Right",NA,NA
"13366","2 To 4 Years","Too Little",NA,NA
"13367","2 To 4 Years","Too Little",NA,NA
"13382","Less Than 2 Yrs","About Right",NA,NA
"13384","2 To 4 Years","Too Little",NA,NA
"13391","More Than 4 Yrs","Too Little",NA,NA
"13392","2 To 4 Years","Too Little",NA,NA
"13396","2 To 4 Years","Too Much",NA,NA
"13398","More Than 4 Yrs","Too Much",NA,NA
"13411","More Than 4 Yrs","Too Much",NA,NA
"13416","Less Than 2 Yrs","About Right",NA,NA
"13428","More Than 4 Yrs",NA,NA,NA
"13429","2 To 4 Years",NA,NA,NA
"13432","2 To 4 Years","Too Little",NA,NA
"13434","2 To 4 Years",NA,NA,NA
"13439","2 To 4 Years","Too Much",NA,NA
"13459","2 To 4 Years","Too Much",NA,NA
"13467","Less Than 2 Yrs",NA,NA,NA
"13473","Less Than 2 Yrs","Too Little",NA,NA
"13494","2 To 4 Years",NA,NA,NA
"13499","More Than 4 Yrs","Too Little",NA,NA
"13505","More Than 4 Yrs","About Right",NA,NA
"13513","Less Than 2 Yrs","Too Much",NA,NA
"13516","2 To 4 Years","About Right",NA,NA
"13521","2 To 4 Years","About Right",NA,NA
"13525","2 To 4 Years","Too Little",NA,NA
"13530","2 To 4 Years","Too Little",NA,NA
"13533","2 To 4 Years","Too Much",NA,NA
"13537","More Than 4 Yrs",NA,NA,NA
"13544","2 To 4 Years","Too Much",NA,NA
"13545","2 To 4 Years","About Right",NA,NA
"13548","2 To 4 Years","Too Little",NA,NA
"13549","2 To 4 Years","Too Much",NA,NA
"13551","Less Than 2 Yrs","About Right",NA,NA
"13552","2 To 4 Years","Too Little",NA,NA
"13557","2 To 4 Years","Too Little",NA,NA
"13563","2 To 4 Years",NA,NA,NA
"13588","2 To 4 Years",NA,NA,NA
"13599","More Than 4 Yrs","Too Little",NA,NA
"13615","Less Than 2 Yrs","About Right",NA,NA
"13617","More Than 4 Yrs",NA,NA,NA
"13622","2 To 4 Years","About Right",NA,NA
"13625","2 To 4 Years","Too Much",NA,NA
"13631","2 To 4 Years","Too Much",NA,NA
"13633","2 To 4 Years","Too Little",NA,NA
"13638","Less Than 2 Yrs","Too Little",NA,NA
"13642","Less Than 2 Yrs","Too Little",NA,NA
"13643","Less Than 2 Yrs","Too Little",NA,NA
"13653","More Than 4 Yrs","Too Little",NA,NA
"13654","2 To 4 Years",NA,NA,NA
"13664","More Than 4 Yrs","Too Little",NA,NA
"13665","2 To 4 Years","Too Much",NA,NA
"13670","More Than 4 Yrs","About Right",NA,NA
"13676","2 To 4 Years","Too Much",NA,NA
"13682","More Than 4 Yrs","Too Little",NA,NA
"13686","2 To 4 Years","Too Little",NA,NA
"13687","2 To 4 Years","About Right",NA,NA
"13707","2 To 4 Years","About Right",NA,NA
"13721","2 To 4 Years","Too Little",NA,NA
"13722","2 To 4 Years","Too Little",NA,NA
"13723","2 To 4 Years","Too Little",NA,NA
"13725","Less Than 2 Yrs","Too Little",NA,NA
"13726","2 To 4 Years","Too Little",NA,NA
"13728","More Than 4 Yrs","Too Little",NA,NA
"13751","2 To 4 Years","Too Little",NA,NA
"13754","2 To 4 Years",NA,NA,NA
"13763","2 To 4 Years","Too Little",NA,NA
"13766","More Than 4 Yrs","Too Little",NA,NA
"13787","Less Than 2 Yrs","Too Little",NA,NA
"13795","2 To 4 Years",NA,NA,NA
"13797","More Than 4 Yrs","Too Little",NA,NA
"13803","Less Than 2 Yrs","Too Little",NA,NA
"13808","2 To 4 Years","Too Little",NA,NA
"13810","2 To 4 Years","Too Little",NA,NA
"13812","2 To 4 Years","Too Little",NA,NA
"13824","2 To 4 Years","Too Much",NA,NA
"13825","2 To 4 Years","Too Little",NA,NA
"13853","2 To 4 Years","About Right",NA,NA
"13859","More Than 4 Yrs","Too Little",NA,NA
"13864","More Than 4 Yrs","Too Little",NA,NA
"13871","2 To 4 Years","About Right",NA,NA
"13875","2 To 4 Years","Too Little",NA,NA
"13878","2 To 4 Years","Too Little",NA,NA
"13882","More Than 4 Yrs","Too Little",NA,NA
"13904","More Than 4 Yrs","Too Much",NA,NA
"13919","2 To 4 Years","Too Little",NA,NA
"13926","2 To 4 Years","Too Little",NA,NA
"13927","2 To 4 Years","Too Little",NA,NA
"13939","More Than 4 Yrs","Too Little",NA,NA
"13940","2 To 4 Years","Too Little",NA,NA
"13950","2 To 4 Years","Too Little",NA,NA
"13971","2 To 4 Years","Too Little",NA,NA
"13973","More Than 4 Yrs","About Right",NA,NA
"13983","2 To 4 Years","Too Little",NA,NA
"13990","More Than 4 Yrs","Too Much",NA,NA
"13994","2 To 4 Years","Too Little",NA,NA
"13999","Less Than 2 Yrs","Too Much",NA,NA
"14012","2 To 4 Years","Too Little",NA,NA
"14015","Less Than 2 Yrs","Too Much",NA,NA
"14017","2 To 4 Years","Too Little",NA,NA
"14026","2 To 4 Years",NA,NA,NA
"14047","2 To 4 Years","Too Little",NA,NA
"14048","2 To 4 Years","Too Little",NA,NA
"14051","2 To 4 Years","Too Little",NA,NA
"14052","Less Than 2 Yrs","Too Little",NA,NA
"14059","Less Than 2 Yrs","Too Much",NA,NA
"14060","Less Than 2 Yrs","Too Much",NA,NA
"14078","2 To 4 Years",NA,NA,NA
"14079","2 To 4 Years","Too Little",NA,NA
"14088","2 To 4 Years","About Right",NA,NA
"14092","2 To 4 Years","Too Little",NA,NA
"14094","2 To 4 Years","Too Little",NA,NA
"14102","Less Than 2 Yrs",NA,NA,NA
"14108","2 To 4 Years","Too Little",NA,NA
"14111","Less Than 2 Yrs","Too Much",NA,NA
"14114","2 To 4 Years","Too Little",NA,NA
"14133","2 To 4 Years","Too Much",NA,NA
"14136","2 To 4 Years","Too Little",NA,NA
"14151","2 To 4 Years","Too Little",NA,NA
"14159","Less Than 2 Yrs","About Right",NA,NA
"14161","More Than 4 Yrs","Too Much",NA,NA
"14164","Less Than 2 Yrs","About Right",NA,NA
"14168","2 To 4 Years","Too Little",NA,NA
"14176","More Than 4 Yrs","About Right",NA,NA
"14179","Less Than 2 Yrs","Too Little",NA,NA
"14186","2 To 4 Years","Too Little",NA,NA
"14197","Less Than 2 Yrs","Too Little",NA,NA
"14200","2 To 4 Years","Too Little",NA,NA
"14201","2 To 4 Years","About Right",NA,NA
"14209","2 To 4 Years","Too Little",NA,NA
"14215","Less Than 2 Yrs","Too Much",NA,NA
"14217","2 To 4 Years","Too Much",NA,NA
"14219","Less Than 2 Yrs","Too Little",NA,NA
"14220","More Than 4 Yrs","About Right",NA,NA
"14230","2 To 4 Years","Too Little",NA,NA
"14231","2 To 4 Years","Too Much",NA,NA
"14232","2 To 4 Years","Too Much",NA,NA
"14254","2 To 4 Years","Too Little",NA,NA
"14258","2 To 4 Years","Too Little",NA,NA
"14267","2 To 4 Years","About Right",NA,NA
"14268","2 To 4 Years","About Right",NA,NA
"14274","2 To 4 Years","About Right",NA,NA
"14279","2 To 4 Years","Too Little",NA,NA
"14284","2 To 4 Years","About Right",NA,NA
"14286","2 To 4 Years","About Right",NA,NA
"14292","2 To 4 Years",NA,NA,NA
"14296","2 To 4 Years","Too Little",NA,NA
"14297","2 To 4 Years","Too Little",NA,NA
"14303","Less Than 2 Yrs","About Right",NA,NA
"14305","2 To 4 Years","About Right",NA,NA
"14306","More Than 4 Yrs","Too Little",NA,NA
"14319","More Than 4 Yrs","Too Little",NA,NA
"14321","2 To 4 Years","Too Little",NA,NA
"14337","More Than 4 Yrs","Too Little",NA,NA
"14354","More Than 4 Yrs","Too Little",NA,NA
"14357","2 To 4 Years","Too Little",NA,NA
